Provider_degree,Provider_closeness_centrality,Provider_eigenvector_centrality,Provider_pagerank,AttendingPhysician_degree,AttendingPhysician_closeness_centrality,AttendingPhysician_eigenvector_centrality,AttendingPhysician_pagerank
1.0,1.3814635224556895e-05,-4.041292602724201e-20,1.3814444383046915e-05,1.0,1.3814635224556895e-05,-8.948437656456562e-21,1.3814444383046915e-05
9.0,0.00012433171702101205,-9.632725226685225e-19,6.262375269475231e-05,1.0,6.582267371700639e-05,-2.615565174844314e-19,8.391187903968535e-06
1.0,1.3814635224556895e-05,-1.8446727633580324e-19,1.3814444383046915e-05,1.0,1.3814635224556895e-05,2.9080170218811037e-19,1.3814444383046915e-05
100.0,0.17055618696895522,0.027550252876913754,0.0005793795323869564,2.662865288667142,0.1402785169103473,0.002432404892093584,1.637496943305443e-05
38.0,0.11894617416347444,7.172974001314701e-05,0.00022697977127642474,1.0847457627118644,0.10516609989485523,5.110235792802441e-05,8.019476675790349e-06
11.0,0.00015196098747012585,1.3301529728906226e-19,7.482607977267873e-05,1.0,7.959861248435164e-05,-7.672398268372487e-21,8.267932074898573e-06
3.0,0.0001406581041045793,-1.92075453440162e-20,2.1615035651434162e-05,1.4583333333333333,0.0001483367776118316,3.7426250403069482e-19,1.1236624341580955e-05
63.0,0.11903508688910253,0.0005044093749695186,0.0003459640605961188,1.2142857142857142,0.11035916091931476,0.00019453041861369126,8.204872118309332e-06
50.0,0.0007749428134970788,-9.847933951176557e-18,0.00030694486606145684,1.0705882352941176,0.0005419943869740317,-1.5014583266108874e-18,8.130339932601892e-06
6.0,0.17025010823648912,0.02418902803761473,3.731407678710181e-05,11.528571428571428,0.1410095411558193,0.010461102692050781,6.473600296301182e-05
25.0,0.0004202557452523098,3.343460773030487e-20,0.00015176970267514103,1.2037037037037037,0.00030198075444898964,-4.176012703982168e-20,8.836413348790998e-06
28.0,0.00038680978628759303,-5.745774234063442e-18,0.00017854585993505264,1.0,0.00019692134574641101,-9.110772247393764e-19,7.931179541903855e-06
5.0,0.09124540653236803,1.6782628182091008e-07,3.106870718331039e-05,1.4444444444444444,0.08890304346446004,6.485781577224573e-07,1.0221441646941855e-05
6.0,8.288781134734137e-05,-3.8594589564453125e-19,4.432026207786281e-05,1.0,4.52115334621862e-05,5.604648698282893e-19,8.730141433910932e-06
2.0,2.762927044911379e-05,2.353022248733849e-19,1.9915607922010087e-05,1.0,1.8419513632742527e-05,6.728914436508737e-19,1.0763862613565327e-05
50.0,0.1704505632742843,0.025671888315252606,0.00029215051853187366,6.212121212121212,0.1405737015017384,0.005444196790363122,3.566183153748832e-05
1.0,2.4559351510323368e-05,-4.1757432159961437e-19,9.217256389025489e-06,2.0,3.6839027265485054e-05,-5.3679153882511904e-20,1.707968293060425e-05
1.0,2.925452165200284e-05,2.3177092378564274e-19,8.34839684906917e-06,2.0,4.1443905673670685e-05,-1.8757612361966997e-19,1.4614486882863205e-05
82.0,0.17038542873980675,0.026951144343029497,0.00048581160642540707,6.555555555555555,0.14057003441239635,0.00599173871771583,3.763280057378325e-05
2.0,3.108292925525301e-05,-5.318882654274151e-19,1.793454167832715e-05,1.5,2.590244104604418e-05,-4.65668866097179e-19,1.3814444383046911e-05
3.0,4.1443905673670685e-05,-1.93388648328297e-20,2.6016771460973262e-05,1.0,2.4866343404202412e-05,4.8984593478516196e-20,9.747002023738128e-06
2.0,2.7629270449113787e-05,2.9217289986890347e-19,1.9915607922010087e-05,1.0,1.8419513632742527e-05,-6.354829451000541e-20,1.0763862613565327e-05
1.0,1.8419513632742527e-05,-1.4291508065575607e-19,1.0763862613565327e-05,2.0,2.762927044911379e-05,-4.534192450755629e-19,1.9915607922010087e-05
18.0,0.09160232157852573,2.203719756965246e-07,0.00010733258086385613,1.1081081081081081,0.08435408509266198,2.0086473812750717e-07,8.085386105009707e-06
1.0,1.3814635224556895e-05,1.248838448136066e-19,1.3814444383046915e-05,1.0,1.3814635224556895e-05,-4.61578237680815e-20,1.3814444383046915e-05
3.0,4.1443905673670685e-05,3.6267564337064177e-19,2.6016771460973262e-05,1.0,2.4866343404202412e-05,1.8395215943617092e-19,9.747002023738128e-06
2.0,3.453658806139224e-05,4.747127935798125e-19,1.6344798343671137e-05,1.5714285714285714,3.524141638917576e-05,3.838765361974589e-19,1.310710876188239e-05
2.0,2.762927044911379e-05,-1.8991899469926185e-19,1.9915607922010087e-05,1.0,1.8419513632742527e-05,-2.4575261334482105e-19,1.0763862613565327e-05
12.0,0.0917112239230738,8.59361370681568e-08,6.952208373149379e-05,1.7586206896551724,0.08510064442935246,1.6995833951110757e-07,1.1744419908884012e-05
3.0,0.09152410195724736,9.005380795945325e-08,1.802218124711608e-05,2.3333333333333335,0.08919584204484583,8.400903141299331e-07,1.4678448137684458e-05
23.0,0.0003178935946559967,-1.639514593412309e-18,0.00014500211420224212,1.0222222222222221,0.00021428383047182004,-4.431207087255694e-19,7.984815401900014e-06
